th, k, dim, num_points, par_mean, par_simd_mean, par_single_mean, par_stdev, par_simd_stdev, par_single_stdev
4, 5, 2, 10000, 2.55647, 2.59735, 2.86973, 0.128749, 0.225791, 0.384292
4, 5, 2, 50000, 2.87008, 2.878, 2.81023, 0.0718615, 0.145784, 0.095374
4, 5, 2, 100000, 2.70221, 2.74391, 2.58406, 0.339949, 0.268733, 0.590806
4, 5, 2, 500000, 2.82216, 2.88295, 3.11701, 0.122407, 0.195204, 0.225738
4, 5, 2, 1000000, 2.79659, 2.83, 2.86211, 0.084378, 0.0468649, 0.0558035
4, 5, 5, 1000, 2.45663, 2.41791, 2.53195, 0.210827, 0.293977, 0.497622
4, 5, 5, 5000, 2.40497, 2.50082, 2.64393, 0.126167, 0.243359, 0.144783
4, 5, 5, 10000, 2.52632, 2.57742, 2.61902, 0.0818818, 0.113278, 0.145644
4, 5, 5, 50000, 2.83004, 2.69518, 2.73751, 0.152962, 0.200166, 0.186707
4, 5, 5, 100000, 3.00315, 2.98516, 2.85197, 0.0834949, 0.107104, 0.0678814
4, 5, 5, 500000, 2.85589, 2.9021, 2.98753, 0.0689612, 0.0649819, 0.0300453
4, 5, 5, 1000000, 2.87506, 2.85783, 2.78359, 0.108479, 0.103648, 0.0493386
